,name,price,item
0,Sony PlayStation 1 PS1 Games U Pick Choose Complete Rare Fun Rare Action Family,,Playstation 1
1,Afro Samurai PS3 Sony PlayStation 3 No Manual Tested!,,Playstation 1
2,Sony PlayStation PS Plus 12-Month / 1 Year Membership Subscription,31.99,Playstation 1
3,"Tokyo Xanadu EX+: Limited Edition (Sony PlayStation 4, 2017)",59.99,Playstation 1
4,PLAYSTATION 3 PS3 GAME SILENT HILL HD COLLECTION BRAND NEW SEALED,24.48,Playstation 1
5,"⏮️WWF SmackDown⏭️ (Sony PlayStation 1, 2000) +complete+ ✓",,Playstation 1
6,"NBA ShootOut (Sony PlayStation 1, 1995) LONG BOX VERSION!  TESTED/WORKS!",44.0,Playstation 1
7,"Goal Storm (Sony PlayStation 1, 1995) LONG BOX!!  TESTED, WORKS GREAT!",32.0,Playstation 1
8,"Heavenly Sword (Sony PlayStation 3, 2007)",,Playstation 1
9,PlayStation 2 PS2 Games CIB Many Uncommon (Set #1)  **** You Choose ****,,Playstation 1
10,COOL BOARDERS 3 SONY PLAYSTATION 1 GAME GOOD USED CONDITION TESTED,5.0,Playstation 1
11,Grandia (Sony Playstation 1 PS1) Black Label Game - Complete Authentic,67.99,Playstation 1
12,Azure Dreams PlayStation 1 Rare PS1 Complete CIB w/ Manual CLEAN AND TESTED VG,107.95,Playstation 1
13,Sony PlayStation PS Plus 1 Year 12-Month Membership Subscription Card USA/Canada,31.99,Playstation 1
14,Chrono Cross [Sony PlayStation 1 PS1 Square Enix RPG 40 Characters Retro] NEW,21.99,Playstation 1
15,Sony Playstation 1 PS1 Console Authentic Controller Cables Tested See Descriptio,49.99,Playstation 1
16,"✅ Sony PlayStation 1 SCPH-9001 Games, Controllers, Mem Cards, Rare EA Sports Bag",79.99,Playstation 1
17,"MediEvil (Sony PlayStation 1, 1998) Complete PS1",39.99,Playstation 1
18,"South Park Rally (Sony PlayStation 1, 1999)",6.0,Playstation 1
19,Grinch Sony PlayStation 1 PS1 CIB Complete In Box,38.0,Playstation 1
20,"Frank Thomas Big Hurt Baseball (Sony PlayStation 1, 1996) COMPLETE! WORKS GREAT!",61.0,Playstation 1
21,Konami Metal Gear Solid PlayStation 1 Game,,Playstation 1
